sanskrit_devanagari,sanskrit_roman,english_name,english_aliases,classical_synonyms,source_text,source_verse_ids,source_example,ambiguity_notes,verification_status,verified_by
अतीसार,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0159|BPN_0437|BPN_0475|BPN_0776,"ग्राहक, दोषास्र-स्वेद-वीसर्प-ज्वर-व्रण-विपादिका-ग्रहभग्ना-अग्निदग्ध-शूला-अतीसारनाशन || योनिशोधिनी, व्रण-हृद्रोग-वाता-अतीसारहृत्, पटु",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अनिल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0043|BPN_0099|BPN_0160|BPN_0387|BPN_0768|BPN_0828|BPN_0876|BPN_0884|BPN_0992,"उग्रगन्धा, वान्तिवह्निकृत्, विबन्धाध्मानशूलघ्नी, शकृन्मूत्रविशोधिनी, अपस्मार-कफ-उन्मांद-भूत-जन्तु-अनिलहर || रसायनी, विष्टम्भहृत्, रुच्या, सरा, श्लेष्मा-अस्र-पित्तनुत्,हृद्या , श्वास-कुष्ठ-मेह-ज्वर-कृमि-प्रणुत्, पित्तल, कुष्ठ-कफा-अनिलहर,",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अनिलाविबन्ध,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0976,"पाचनी, रुच्या, वह्निप्रदीपनी, कफ-अनिलाविबन्धघ्नी, किञ्चित्-पित्तप्रकोपणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अन्ध्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0192,"हृद्य, रुचिप्रद, आस्यदौर्गन्ध-हृद्रोग-कफ-वाता-आमय-अन्ध्यहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अपस्मार,Apasmara,seizure / loss-of-consciousness disorder,epilepsy-like disorder|seizure,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0043|BPN_0049|BPN_0150|BPN_0339|BPN_0624|BPN_0662,"उग्रगन्धा, वान्तिवह्निकृत्, विबन्धाध्मानशूलघ्नी, शकृन्मूत्रविशोधिनी, अपस्मार-कफ-उन्मांद-भूत-जन्तु-अनिलहर || वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी",Not automatically equivalent to epilepsy,PROVISIONAL_TEST_ONLY,
अम्लपित्त,Amlapitta,acid-peptic / hyperacidity-like disorder,acidity|acid dyspepsia,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0601|BPN_0614|BPN_0834,"गुल्मोदरा-अर्शः-शूलाम-आमवात-भगन्दर, कामला-शोथ-कुष्ठ-क्षय-कान्तमयहर, प्लीहा-अम्लपित्त-यकृत्छिरोहर, सर्वरोगविजयी, बलवीर्यवपुःपुष्टिकर, अग्निविवर्धन || बल्य, केश्य, अम्लपित्तजित्, वह्निकृत्, दाहहारी, रुचिकारक",Not a single biomedical diagnosis,PROVISIONAL_TEST_ONLY,
अरुचि,Aruchi,loss of appetite / taste,anorexia|poor appetite,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0055|BPN_0084|BPN_0086|BPN_0167|BPN_0169|BPN_0180|BPN_0191|BPN_0195|BPN_0206|BPN_0239|BPN_0250|BPN_0389|BPN_0429|BPN_0571|BPN_0576|BPN_0581|BPN_0602|BPN_0823|BPN_0893|BPN_1093,"दीपन, रुच्य, विदाहि, वातश्लेष्म-अक्षि-कर्ण-ओष्ठ-शिरोरुक्-गुरुता-कृमि-कुष्ठ-शूल-अरुचि-श्वास-प्लीह-मूत्रकृच्छ्रनाशक || वात-कफ-ज्वरापह, शोथ-अरुचि-श्वासा-त्पार्श्वशूलनुत्",Not psychiatric anorexia nervosa,PROVISIONAL_TEST_ONLY,
अरुची,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0087|BPN_0221,"वात-कफ-ज्वर-श्वास-प्रमेहा-आर्श-कास-कण्ठामया-अरुचीहर || त्रिदोषघ्न, श्वास-कास-शिरोरुज, तन्द्रा-शोथ-ज्वरा-आनाह-पार्श्वपीडा-अरुचीहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अर्दितार्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0913,"वर, वृष्य, अर्दितार्तिजित्, वातघ्न, नातिपित्तकृत्, ऊर्ध्वजत्रुगतरोगहन्य",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अर्श,Arsha,hemorrhoids,piles,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0223|BPN_0252|BPN_0304|BPN_0307|BPN_0416|BPN_0441|BPN_0532|BPN_0614|BPN_0616|BPN_0774|BPN_0776|BPN_0838,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || मलस्तम्भकृत्, कफ-पित्त-व्रण-श्वित्र-कुष्ठ-पाण्डु-अर्श-कामलाजय",Classical Arsha category,PROVISIONAL_TEST_ONLY,
अर्शविकार,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0838,"ग्रहणी -अर्शविकारघ्नी, ज्वरहरी,पाण्डु-शोथ-कृमि-प्लीह-गुल्मा-आनाहोदरापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अर्शो,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0774,"वात-श्लेष्म-हरी, पटु, अर्शोघ्नी, दीपनी, मन्दाग्निविषनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अल्पमूत्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0735,"कफ-पित्तनुत्, बल्य, केश्य, शीतस्पर्श, त्वच्य, स्तन्य, व्रणहित, दन्त्य, अल्पमूत्रकृत्, ग्राही, वातघ्न, अग्निमतिप्रद शुक्रलो",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अश्म,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0089,"अश्मघ्न, बस्तिशोधन, भेदन, दोष-आर्शो-गुल्म-कृच्छ्रा-अश्म-हृद्रुजह, योनिरोगा प्रमेह-प्लीह-शूल-व्रणहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
अश्मरी,Ashmari,urinary calculus,urinary stone|kidney-stone-like disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0179|BPN_0220|BPN_0282|BPN_0283|BPN_0656|BPN_0734|BPN_0821|BPN_1077,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || हृद्य, कफपित्तहर, कण्डू-कुष्ठा-अश्मरी-दाह-विषहृद्, गुद-रक्तहृत्",Anatomical site requires confirmation,PROVISIONAL_TEST_ONLY,
अस्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0071|BPN_0148|BPN_0237|BPN_0283|BPN_0310|BPN_0337|BPN_0371|BPN_0378|BPN_0379|BPN_0412|BPN_0414|BPN_0415|BPN_0417|BPN_0420|BPN_0427|BPN_0430|BPN_0431|BPN_0444|BPN_0464|BPN_0522|BPN_0540|BPN_0556|BPN_0661|BPN_0724|BPN_0725|BPN_0740|BPN_0767|BPN_0797|BPN_0839|BPN_0865,"चक्षुष्या, बलवर्णकृत्, शुक्रला, केश्या, स्वर्या, पित्त-अनिल-अस्रजित्, व्रण-शोथ-विषच्छर्दि-तृष्णा-ग्लानि-क्षयापहा || विबन्धा-अध्मान-शोथा-आम-तन्द्रा-हिक्का-ज्वरा-अस्रजित्, प्रमेह-पीनस-श्लेष्म-कास-कण्डू-समीरनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आध्मान,Adhmana,abdominal bloating / distension,bloating|flatulence,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0164|BPN_0785,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || नेत्रहित, दीपन, पाचन, रुच्य, कफ-पित्ता-अस्र-नाशकृत्, तृष्णा-छर्दि-आध्मान-शूल-कास-श्वास-हिक्का-क्षय- आशुविनाशक",Symptom/category,PROVISIONAL_TEST_ONLY,
आनाह,Anaha,obstruction / abdominal distension,constipation|abdominal obstruction,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0014|BPN_0023|BPN_0029|BPN_0042|BPN_0072|BPN_0077|BPN_0085|BPN_0114|BPN_0125|BPN_0128|BPN_0221|BPN_0233|BPN_0581|BPN_0838|BPN_1079,"रुच्या, आम-वातघ्नी, पाचनी, कफ-वात-विबन्धनुत्, वृष्या, स्वर्य्या-वमि-श्वास-शूल-कास-हृदामय-श्लीपद-शोथार्श, आनाह -उदरमारुतहरा || दीपन, पाचन, पित्तकर, भेदि, कफ-वातो-दरापह, आनाह-प्लीह-गुल्मघ्न, कृमि-श्वास-क्षयापह",Context dependent,PROVISIONAL_TEST_ONLY,
आनाहकृमि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0042,"पाचन, रुच्य, वातवलासनुत्, शूल-गुल्म-उदर-आनाहकृमिघ्न, पित्तवर्द्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आमदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0573,"वात-श्लेष्म-विबन्धनुत्, शूल-कास-कफो-उत्क्लेश-च्छर्दि-तृष्णा-आमदोषजित्, आस्यवैरस्यहृत्-पीडा-वह्निमान्द्य-क्रिमीहर, तृष्णा-च्छर्दि-निवारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आमय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0420,"वर्ण्य, योनिरोग-व्रणापहा, मेदोघ्न, विसर्प-आमयनाशन, शोथ-पित्त-कफा-अस्रघ्न, स्तन्या, भग्नास्थियोजक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आमवात,Amavata,inflammatory arthritis-like disorder,rheumatoid arthritis-like disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0614,"गुल्मोदरा-अर्शः-शूलाम-आमवात-भगन्दर, कामला-शोथ-कुष्ठ-क्षय-कान्तमयहर, प्लीहा-अम्लपित्त-यकृत्छिरोहर, सर्वरोगविजयी, बलवीर्यवपुःपुष्टिकर, अग्निविवर्धन",Not automatically equivalent to rheumatoid arthritis,PROVISIONAL_TEST_ONLY,
आर्त्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0357,"तृष्णा-कफापह, मूत्राघाता-अश्मजिद्-ग्राही, योनि-मूत्रा-अनिल-आर्त्तिजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आर्श,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0455,"त्रिदोष-विष-कुष्ठा-आर्शहरी, वारिशिरीषिका",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आस्यमल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0184,"ग्राहिणी, अनुष्णा-ऽऽ-आस्यमलनाशिनी, शोथ-कास-व्रण-श्वास-शूल-सिध्म-ग्रहापहा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आस्यरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0139,"वृष्या, चक्षुष्या, छेदिनी, श्लेष्म-तृष्णा-वस्ति -आस्यरोगहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
आस्यवैरस्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0505|BPN_0573,"कफ-पित्तजित्, मोहन, दीपन, रुच्य-आस्यवैरस्यनाशन || वात-श्लेष्म-विबन्धनुत्, शूल-कास-कफो-उत्क्लेश-च्छर्दि-तृष्णा-आमदोषजित्, आस्यवैरस्यहृत्-पीडा-वह्निमान्द्य-क्रिमीहर, तृष्णा-च्छर्दि-निवारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
उत्वलेश,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0085,"रेचनी, भेदिनी, उत्वलेशकारिणी, कृमि-कण्डू-विष-आनाह-कफ-पित्ता-आस्र-कुष्ठनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
उदर,Udara,abdominal disorder group,abdominal disease,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0014|BPN_0016|BPN_0029|BPN_0042|BPN_0051|BPN_0053|BPN_0072|BPN_0078|BPN_0114|BPN_0295|BPN_0300|BPN_0302|BPN_0307|BPN_0314|BPN_0351|BPN_0575|BPN_0601,"पाचनी, रुच्या, दीपनी, पित्तला शुक्र-शूलहृत्, वात-श्लेष्मो-उदर-आनाह-गुल्म-प्लीह-कृमिप्रणुत् || पाचन, रुच्य, वातवलासनुत्, शूल-गुल्म-उदर-आनाहकृमिघ्न, पित्तवर्द्धन",Too broad without subtype,PROVISIONAL_TEST_ONLY,
उदरज्वर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0016,"दीपनी, वृष्या, रसायनी, वात-श्लेष्महर, रेचनी, श्वास-कास-उदरज्वरहर, कुष्ठ-प्रमेह-गुल्मार्शः प्लीह-शूल-आम-मारुतनाशक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
उन्माद,Unmada,severe mental disturbance,psychosis-like disorder|mental disturbance,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0049|BPN_0231|BPN_0624|BPN_0854,"वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी || रेचन, दीपन, शूला-आमा-अष्ठीलिका-आध्यानकफ-गुल्मोदरा-अनिलापह, उन्माद-मोह-कुष्ठा-आर्श-शोथ-मेदो-अश्म-पाण्डुता-व्रण-शोथ-ज्वर-प्लीह-विषदूषी-विषहर",Not a single psychiatric diagnosis,PROVISIONAL_TEST_ONLY,
ऊर्ध्वजत्रुविकार,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0899,"ऊर्ध्वजत्रुविकारघ्न, रुचिप्रद",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कण्ठरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0831,"रुच्य, पाचन, दोषत्रयहर, स्वर्य, ज्वर-श्वास-विनाशन, नासिका-कण्ठरोगघ्न, नयनामयनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कण्ठादिदाह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1100,"दन्त-रोम-हर्ष-कण्ठादिदाहकृत्, दीपन, रक्त-वात-पित्तकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कण्ठोत्कर्षण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0296,"हीनगुणा, तीव्रविरोचिनी, मूर्च्छा-दाह-मद-भ्रान्ति-कण्ठोत्कर्षणकारिणी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कण्डू,Kandu,itching,pruritus,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0085|BPN_0095|BPN_0137|BPN_0140|BPN_0148|BPN_0158|BPN_0165|BPN_0170|BPN_0179|BPN_0187|BPN_0188|BPN_0195|BPN_0196|BPN_0197|BPN_0198|BPN_0199|BPN_0236|BPN_0294|BPN_0307|BPN_0323|BPN_0326|BPN_0344|BPN_0398|BPN_0409|BPN_0410|BPN_0429|BPN_0431|BPN_0454|BPN_0608|BPN_0616|BPN_0618|BPN_0620|BPN_0623|BPN_0640|BPN_0643|BPN_0656|BPN_0740|BPN_0784,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || रेचनी, भेदिनी, उत्वलेशकारिणी, कृमि-कण्डू-विष-आनाह-कफ-पित्ता-आस्र-कुष्ठनुत्",Symptom/category,PROVISIONAL_TEST_ONLY,
कण्डूकुष्ठ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0140,"वीर्यकृत्, कफवातकृत्, कण्डूकुष्ठहर, नेत्र्य, सुगन्ध, स्वेदगन्धनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफकास,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0117,"ग्राहि, वातकृत्, कफकासकृत्, धातुशोषक, मदकृत्, वाग्विवर्धन, मुहुर्मोहकर, रुच्य, सेवनपुंस्त्वनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफक्षय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0137,"कफक्षयकर, कुष्ठ-कण्डू-वमिहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफपित्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0176|BPN_0179|BPN_0199,"पाचन, वान्तिहृत्, स्तम्भन, ज्वरनुद्, भ्रान्ति-मद-जित् कफपित्तहृत्, तृष्णाऽ-अस्र-विष-वीसर्प-कृच्छ्र-दाह-व्रणापह || हृद्य, कफपित्तहर, कण्डू-कुष्ठा-अश्मरी-दाह-विषहृद्, गुद-रक्तहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफमेद,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0933,"वृष्य, पुष्टिकर, कफमेदप्रद, बल्य, ग्लानिकृत्-मेहनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफवात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0078|BPN_0140|BPN_1053|BPN_1057|BPN_1084,"आमपाचिनी, कफवातजित्, शोथ-श्वास-समीरा-अस्र-वात-शूलो-उदरापह, कास-ज्वर-विषा-अशीति-वातिकामय-सिध्महृत् || वीर्यकृत्, कफवातकृत्, कण्डूकुष्ठहर, नेत्र्य, सुगन्ध, स्वेदगन्धनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफवातामयध्वंसिच्छागमांसद्रवत्व,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0581,"भेदन, दीपन, हृद्रोग-शूल-गुल्मघ्न, पित्तल, लोमहर्षण, विण्मूत्रदोषघ्न, प्लीहोदावर्त्तनाशन, हिक्का-आनाह-अरुचि-श्वास-कासा-अजीर्ण-वमिप्रणुत्, कफवातामयध्वंसिच्छागमांसद्रवत्वकृत्, लोहसूचीद्रवत्वकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफवि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0019,"मेदः-कफविनाशिनी, श्वास-कास-ज्वरहरी, वृष्या, मेध्या, अग्निवर्द्धिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफशोथ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0770,"सर, रुच्य, वातकृत्, कफशोथहृत्, बल्य, रुचिकर, मेध्य, रक्तपित्तहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफसमीर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0082,"सरा, कफसमीरजित्, वामनी, वह्निबुद्धिस्मृतिप्रदा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कफामय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0958,"रुच्या, मल-शुक्र-अनिलकरी, बल्या, कफामयहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कान्तमय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0614,"गुल्मोदरा-अर्शः-शूलाम-आमवात-भगन्दर, कामला-शोथ-कुष्ठ-क्षय-कान्तमयहर, प्लीहा-अम्लपित्त-यकृत्छिरोहर, सर्वरोगविजयी, बलवीर्यवपुःपुष्टिकर, अग्निविवर्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
कान्ति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0304,"रसायन, वृष्य, वाता-आम-वाता-अर्शः-शोथ-मेह-कफ-प्रणुत्, शुक्रा-आयु-र्बल-मेधा-अग्नि-स्वर-कान्तिकर, सर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
