id,herb_hindi,synonyms,herb_english,botanical_name,varga_category,classical_properties,raw_karma_sanskrit,english_symptoms,hindi_symptoms
BPN_0048,अथ अपरा सुगन्धा स्थूलग्रन्थिः यस्या लोके महाभरी इति नाम तस्या गुणानाह,,,,हरीतक्यादिवर्गः,,हीनगुणा,,
BPN_0049,चोबचीनि,द्वीपान्तरवचा ,,,हरीतक्यादिवर्गः,Guna: त्तिक्त | Virya: उष्ण,"वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी",,
BPN_0051,हपुषा,"हपुषा, हबुषा, विस्रा",,,हरीतक्यादिवर्गः,"Rasa: तिक्त, तुवर | Guna: मृदु, गुरु | Virya: उष्ण","दीपनी, पित्त -उदर-समीर-आर्शो-ग्रहणी-गुल्म-शूलहृत्",,
BPN_0052,हपुषा,"अश्वत्थाफला, मत्स्यगन्धा, प्लीहहन्त्री, विषघ्नी, ध्वाङ्क्षनाशिनी",,,हरीतक्यादिवर्गः,,,,
BPN_0053,विडङ्गः,"कृमिघ्न, जन्तुनाशन, तण्डुल, वेल्ल, अमोघा, चित्रतण्डुल    ",,,हरीतक्यादिवर्गः,"Rasa: कटु, तिक्त | Guna: रूक्ष, लघु | Virya: उष्ण","वह्निकर, शूल-अध्मान-उदर-श्लेष्म-कृमि-वात-विबन्धनुत्",,
BPN_0054,नाडीहिङ्गु,"नाडीहिङ्गु, पलाशाख्या, जन्तुका, रामठी, वंशपत्री, पिण्डाह्वा, सुवीर्य्या, हिङ्गुनाडिका ",,,हरीतक्यादिवर्गः,Rasa: कटु | Guna: तीक्ष्ण | Virya: उष्ण,"दीपक, कफ-वात-मल-स्तम्भ-मनो-मोह-आमनाशन",,
BPN_0055,तुम्बुरु,"तुम्बरु, सौरभ, सौर, वनज, सानुज, अन्धक ",,,हरीतक्यादिवर्गः,"Rasa: तिक्त, कटु | Guna: रूक्ष, तीक्ष्ण, लघु | Virya: उष्ण | Vipaka: कटु","दीपन, रुच्य, विदाहि, वातश्लेष्म-अक्षि-कर्ण-ओष्ठ-शिरोरुक्-गुरुता-कृमि-कुष्ठ-शूल-अरुचि-श्वास-प्लीह-मूत्रकृच्छ्रनाशक",,
BPN_0056,वंशलोचनः,"वंशरोचना, वांशी, तुगाक्षीरी, तुगा, शुभा, त्वक्क्षीरी, वंशजा, शुभ्रा, वंशक्षीरी, वैणवी  ",,,हरीतक्यादिवर्गः,"Rasa: कषाय, स्वादु | Virya: शीतल","बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित्",,
BPN_0057,समुद्रफेनः,"समुद्रफेन, फेन, हिण्डीर, अब्धिकफ",,,हरीतक्यादिवर्गः,Rasa: कषाय | Virya: शीतल,"चक्षुष्य, लेखन, विषपित्तघ्न, कर्णरुक् -क्कफहृत्सर",,
BPN_0058,अष्टवर्गः,,,,हरीतक्यादिवर्गः,Rasa: स्वादु | Guna: गुरु | Virya: शीत,"बृंहण, शुक्रल, भग्नसन्धानकृत्, काम-कफ-बला-सबल-वर्द्धन, वात-पित्त-अस्रतृड्-दाह-ज्वर-मेहक्षयप्रणुत्",,
BPN_0060,जीवक,"जीवक, मधुर, शृङ्ग, ह्रस्वाङ्ग, कूर्चशीर्षक ",,,हरीतक्यादिवर्गः,Rasa: मधुर | Virya: शीत,"बल्य, शुक्रकफप्रद, पित्त-दाह-अस्र-कार्श्य-वात-क्षयापह",,
BPN_0061,ऋषभक,"ऋषभ, वृषभ, धीर, विषाणी, द्राक्ष",,,हरीतक्यादिवर्गः,,,,
BPN_0063,मेदा,"शल्यपर्णी, मणिच्छिद्रा, मेदा, मेदोभवा, अध्वरा",,,हरीतक्यादिवर्गः,Rasa: स्वादु | Guna: गुरु | Virya: शीत,"वृष्य, स्तन्यकफावह, बृंहण, पित्त-रक्त-वात-ज्वरप्रणुत्",,
BPN_0064,महामेदा,"महामेदा, वसुच्छिद्रा, त्रिदन्ती, देवतामणि",,,हरीतक्यादिवर्गः,,,,
BPN_0066,काकोली,"काकोली, वायसोली, वीरा, कायस्थिता ",,,हरीतक्यादिवर्गः,Rasa: मधुर | Guna: गुरु | Virya: शीत,"शुक्रवर्धक, बृंहण, वात-दाहा-अस्र-पित्त-शोष-ज्वरापह",,
BPN_0067,क्षीरकाकोली,"शुक्ला, क्षीरकाकोली, वयस्था, क्षीरवल्लिका, क्षीरिणी, धीरा, क्षीरशुक्ला, पयस्विनी ",,,हरीतक्यादिवर्गः,,,,
BPN_0068,ऋद्धिवृद्ध्यौ,"योग्य, सिद्धि, लक्ष्मी ",,,हरीतक्यादिवर्गः,,,,
BPN_0069,ऋद्धिः,,,,हरीतक्यादिवर्गः,Rasa: मधुर | Guna: गुरु,"बल्या, त्रिदोषघ्नी, शुक्ला, प्राणैश्वर्यकरी, मूर्च्छा-रक्त-पित्त-विनाशिनी",,
BPN_0070,वृद्धिः,,,,हरीतक्यादिवर्गः,Rasa: मधुर | Virya: शीत,"गर्भप्रदा, बृंहणी, वृष्या, पित्तास्रशमनी, क्षतकासक्षयापहा",,
BPN_0071,यष्टीमधु,"यष्टीमधु, यष्टीमधुक, क्लीतनक ",,,हरीतक्यादिवर्गः,"Rasa: मधुर | Guna: गुरु, स्निग्ध | Virya: शीत","चक्षुष्या, बलवर्णकृत्, शुक्रला, केश्या, स्वर्या, पित्त-अनिल-अस्रजित्, व्रण-शोथ-विषच्छर्दि-तृष्णा-ग्लानि-क्षयापहा",,
BPN_0072,काम्पिल्लः,"काम्पिल्ल, कर्कश, चन्द्र, रक्ताङ्ग, रोचन",,,हरीतक्यादिवर्गः,Rasa: कटु | Virya: उष्ण,"कफ-पित्त-अस्र-कृमि-गुल्म-उदर-व्रणहर, रेची, मेह-आनाह-विषाश्मनुत्",,
BPN_0073,आरग्वधः,"आरग्वध, राजवृक्ष, शम्पाक, चतुरङ्गुल, आरवेत, व्याधिघात, कृतमाल, सुवर्णक, कर्णिकार, दीर्घफल, स्वर्णाङ्ग, स्वर्णफल   ",,,हरीतक्यादिवर्गः,Rasa: मधुर | Guna: गुरु | Virya: शीत,"ज्वर-हृद्रोग-पित्त-अस्र-वातोदावर्त्त-शूलनुत्, रुच्य, कुष्ठ-पित्त-कफापह, कोष्ठशुद्धिकर, स्रंसन",,
BPN_0074,कटुका,"कट्वी, कटुका, तिक्ता, कृष्णमेदा, कटम्भरा, अशोका, मत्स्यशकला, चक्राङ्गी, शकुलादनी, मत्स्यपित्ता, काण्डरुहा, रोहिणी, कटुरोहिणी ",,,हरीतक्यादिवर्गः,"Rasa: तिक्त | Guna: रूक्ष, लघु | Virya: शीत | Vipaka: कटु","भेदिनी, दीपनी, हृद्या, कफ-पित्त-ज्वरापह, प्रमेह-श्वास-कासा-अस्र-दाह-कुष्ठ-क्रिमिप्रणुत्",,
BPN_0075,किरातकः,"किराततिक्त, कैरात, कटुतिक्त, किरातक, काण्डतिक्त, अनार्यतिक्त, भूनिम्ब, रामसेनक",,,हरीतक्यादिवर्गः,"Rasa: तिक्त | Guna: रूक्ष, लघु, सारक | Virya: शीत","सन्निपात-ज्वर-श्वास-कफ-पित्त-अस्र-दाहनुत्, कास-शोथ-तृषा-कुष्ठ-ज्वर-व्रण-कृमिप्रणुत्",,
BPN_0076,इन्द्रयवः,"कटुजबीज, यव, इन्द्रयव, कलिङ्ग, भद्रयव ",,,हरीतक्यादिवर्गः,Rasa: कटु | Virya: शीत,"त्रिदोषघ्न, संग्राहि, ज्वर-अतीसार-रक्ता-आर्शो-वमि-वीसर्प-कुष्ठनुत्, दीपन, गुदकीलास्र-वात-अस्रश्लेष्म-शूलजित्",,
BPN_0077,मदनः,"मदन, छर्दन, पिण्ड, नट, पिण्डीतक, करहाट, मरुवक, शल्यक, विषपुष्पक ",,,हरीतक्यादिवर्गः,"Rasa: मधुर, तिक्त | Guna: लघु | Virya: उष्ण","लेखन, वान्तिकृद् -विद्रधिहर, प्रतिश्यायव्रणान्तक, कुष्ठ-कफा-आनाह-शोथ-गुल्म-व्रणापह",,
BPN_0078,रास्ना,"रास्ना, युक्तरसा, रस्या, रसना, सुवहा, रसा, एलापर्णी, सुरसा, सुगन्धा, श्रेयसी, ",,,हरीतक्यादिवर्गः,Rasa: तिक्त | Guna: गुरु | Virya: उष्ण,"आमपाचिनी, कफवातजित्, शोथ-श्वास-समीरा-अस्र-वात-शूलो-उदरापह, कास-ज्वर-विषा-अशीति-वातिकामय-सिध्महृत्",,
BPN_0079,नाकुली,"नाकुली, सुरसा, नागसुगन्धा, गन्धनाकुली, नकुलेष्टा, भुजङ्गाक्षी, सर्पाङ्गी, विषनाशिनी  ",,,हरीतक्यादिवर्गः,"Rasa: तुवर, तिक्त, कटु | Virya: उष्ण",भोगि-लूता-वृश्चिका-आखु-विष-ज्वर-कृमि-व्रणविनाशक,,
BPN_0080,माचिका,"माचिका, प्रस्थिका, अम्बष्ठा, अम्बालिका, अम्बिका, मयूरविदला, केशी, सहस्रा, बालमूलिका ",,,हरीतक्यादिवर्गः,"Rasa: कषाय, आम्ल | Guna: लघु | Virya: शीत | Vipaka: कषाय",पक्वा-अतीसा-रपित्ता-अस्र-कफ-कण्ठामयापह,,
BPN_0081,तेजवती,"तेजस्विनी, तेजवती, तेजोह्वा, तेजनी ",,,हरीतक्यादिवर्गः,"Rasa: कटु, तिक्त | Virya: उष्ण","कफ-श्वास-कासा-आस्यामय-वातहृत्, पाचनी, रुचिवह्निप्रदीपिनी",,
BPN_0082,ज्योतिष्मती,"ज्योतिष्मती, कष्टमी, ज्योतिष्का, कङ्गुनी, पारावतपदी, पिण्या, लता, ककुन्दिनी ",,,हरीतक्यादिवर्गः,"Rasa: कटु, तिक्त | Guna: तीक्ष्ण | Virya: उष्ण","सरा, कफसमीरजित्, वामनी, वह्निबुद्धिस्मृतिप्रदा",,
BPN_0083,कुष्ठम्,"कुष्ठ, रोगाह्वय, वाप्य, परिभाव्य, उत्पल  ",,,हरीतक्यादिवर्गः,"Rasa: कटु, मधुर, तिक्त | Guna: लघु | Virya: उष्ण","शुक्रल, वाता-अस्र-वीसर्प-कास-कुष्ठ-मरुत्- कफह",,
BPN_0084,पुष्करमूलम्,"पुष्करमूल, पौष्कर, पुष्कर, पद्मपत्र, काश्मीर, कुष्ठभेद  ",,,हरीतक्यादिवर्गः,"Rasa: कटु, तिक्त","वात-कफ-ज्वरापह, शोथ-अरुचि-श्वासा-त्पार्श्वशूलनुत्",,
BPN_0085,कटुपर्णी,"कटुपर्णी, हैमवती, हेमक्षीरी, हिमावती, हेमाह्वा, पीतदुग्धा ",,,हरीतक्यादिवर्गः,Rasa: तिक्त,"रेचनी, भेदिनी, उत्वलेशकारिणी, कृमि-कण्डू-विष-आनाह-कफ-पित्ता-आस्र-कुष्ठनुत्",,
BPN_0086,कर्कशृङ्गी,"शृङ्गी, कर्कटश्रुङ्गी, कुलीरविषाणिका, अजश्रुङ्गी, चक्रा, कर्कटाख्या ",,,हरीतक्यादिवर्गः,"Rasa: कषाय, तिक्त | Virya: उष्ण",कफ-वात-क्षय-ज्वर-श्वासो-उर्ध्व-वात-तृट्कास-हिक्काऽ-अरुचि-र्वमीन्हर,,
BPN_0087,कट्फलम्,"कटफल, सोमवल्क, कैटर्य, कुम्भिका, श्रीपर्णिका, कुमुदिका, भद्रा, भद्रवती ",,,हरीतक्यादिवर्गः,"Rasa: कषाय, तिक्त, कटु",वात-कफ-ज्वर-श्वास-प्रमेहा-आर्श-कास-कण्ठामया-अरुचीहर,,
BPN_0088,भार्गी (भारङ्गी),"भार्गी, भृगुभवा, पद्मा, फञ्जी, ब्राह्मणयष्टिका, ब्राह्मणी, अङ्गारवल्ल, खरशाक, हञ्जिका  ",,,हरीतक्यादिवर्गः,"Rasa: कटु, तिक्त, तुवर | Guna: रूक्ष, लघु | Virya: उष्ण","पाचनी, दीपनी, गुल्म-रक्तदोष-शोथ-कास-कफ-श्वास-पीनस-ज्वर-मारुतहर",,
BPN_0089,पाषणभेद,,,,हरीतक्यादिवर्गः,"Rasa: तिक्त, कषाय | Virya: शीत","अश्मघ्न, बस्तिशोधन, भेदन, दोष-आर्शो-गुल्म-कृच्छ्रा-अश्म-हृद्रुजह, योनिरोगा प्रमेह-प्लीह-शूल-व्रणहर",,
BPN_0090,धातकी,"धातकी, धातुपुष्पी, ताम्रपुष्पी, कुञ्जरा, सुभिक्षा, बहुपुष्पी, वह्निज्वाला ",,,हरीतक्यादिवर्गः,"Rasa: कटु, कषाय | Guna: लघु | Virya: शीत,","मृदुकृत्, तृष्णा-अतीसार-पित्ता-अस्र-विष-क्रिमि-विसर्पजित्",,
BPN_0091,मञ्जिष्ठा,"मंजिष्ठा, विकसा, जिङ्गी, समङ्गा, कालमेषिका, मण्डूकपर्णी, भण्डीरी, भण्डी, योजनवल्ली, रसायनी, अरुणा, काला, रक्ताङ्गी, रक्तयष्टिका, भण्डीतकी, गण्डीरी, मञ्जूषा, वस्ररञ्जिनी    ",,,हरीतक्यादिवर्गः,"Rasa: मधुर, तिक्त, कषाय | Guna: गुरु | Virya: उष्ण","स्वरवर्णकृत्, विष-श्लेष्म-शोथ-योनि -अक्षि-कर्णरुक्-रक्ता-अतीसार-कुष्ठा-अस्र-वीसर्प-व्रण-मेहनुत्",,
BPN_0092,कुसुम्भम्,"कुसुम्भ, वह्निशिख, वस्ररञ्जक",,,हरीतक्यादिवर्गः,,"वातल, कृच्छ्र-रक्त-पित्त-कफापह",,
BPN_0093,लाक्षा,"लाक्षा, पलङ्कषा, अलक्त, याव, वृक्षामय, जतु ",,,हरीतक्यादिवर्गः,"Rasa: तुवर | Guna: स्निग्धा, लघु | Virya: हिमा","वर्ण्या, बल्या, कफ-पित्ता-अस्र-हिक्का-कास-ज्वरप्रणुत्, व्रणोरःक्षत-वीसर्प-कृमि-कुष्ठ-गदापहा, अलक्तक, व्यङ्गनाशन",,
